date,Fed_monthly
2016-01-06 00:00:00,-8.333333333
2016-01-07 00:00:00,3.03030303
2016-01-08 00:00:00,-35.29411765
2016-01-09 00:00:00,-4.545454545
2016-01-10 00:00:00,57.14285714
2016-01-11 00:00:00,6.060606061
2016-01-12 00:00:00,8.571428571
2016-01-13 00:00:00,-13.15789474
2016-01-14 00:00:00,-3.03030303
2016-01-15 00:00:00,-28.125
2016-01-16 00:00:00,-13.04347826
2016-01-17 00:00:00,55
2016-01-18 00:00:00,3.225806452
2016-01-19 00:00:00,6.25
2016-01-20 00:00:00,2.941176471
2016-01-21 00:00:00,-11.42857143
2016-01-22 00:00:00,-29.03225806
2016-01-23 00:00:00,-9.090909091
2016-01-24 00:00:00,75
2016-01-25 00:00:00,5.714285714
2016-01-26 00:00:00,37.83783784
2016-01-27 00:00:00,-17.64705882
2016-01-28 00:00:00,-16.66666667
2016-01-29 00:00:00,-22.85714286
2016-01-30 00:00:00,-18.51851852
2016-01-31 00:00:00,5.405405405
2016-02-01 00:00:00,5.405405405
2016-02-02 00:00:00,-2.564102564
2016-02-03 00:00:00,7.894736842
2016-02-04 00:00:00,14.63414634
2016-02-05 00:00:00,51.06382979
2016-02-06 00:00:00,40.84507042
2016-02-07 00:00:00,-55
2016-02-08 00:00:00,-11.11111111
2016-02-09 00:00:00,0
2016-02-10 00:00:00,-5
2016-02-11 00:00:00,-13.15789474
2016-02-12 00:00:00,-33.33333333
2016-02-13 00:00:00,-4.545454545
2016-02-14 00:00:00,42.85714286
2016-02-15 00:00:00,16.66666667
2016-02-16 00:00:00,2.857142857
2016-02-17 00:00:00,-8.333333333
2016-02-18 00:00:00,-9.090909091
2016-02-19 00:00:00,-30
2016-02-20 00:00:00,-4.761904762
2016-02-21 00:00:00,70
2016-02-22 00:00:00,-5.882352941
2016-02-23 00:00:00,6.25
2016-02-24 00:00:00,0
2016-02-25 00:00:00,0
2016-02-26 00:00:00,-35.29411765
2016-02-27 00:00:00,-4.545454545
2016-02-28 00:00:00,61.9047619
2016-02-29 00:00:00,-4.081632653
2016-03-01 00:00:00,-4.081632653
2016-03-02 00:00:00,-2.127659574
2016-03-03 00:00:00,-2.173913043
2016-03-04 00:00:00,-31.11111111
2016-03-05 00:00:00,-3.225806452
2016-03-06 00:00:00,56.66666667
2016-03-07 00:00:00,-4.255319149
2016-03-08 00:00:00,6.666666667
2016-03-09 00:00:00,14.58333333
2016-03-10 00:00:00,-14.54545455
2016-03-11 00:00:00,-34.04255319
2016-03-12 00:00:00,-3.225806452
2016-03-13 00:00:00,60
2016-03-14 00:00:00,14.58333333
2016-03-15 00:00:00,56.36363636
2016-03-16 00:00:00,-39.53488372
2016-03-17 00:00:00,-17.30769231
2016-03-18 00:00:00,-27.90697674
2016-03-19 00:00:00,-6.451612903
2016-03-20 00:00:00,62.06896552
2016-03-21 00:00:00,0
2016-03-22 00:00:00,-6.382978723
2016-03-23 00:00:00,2.272727273
2016-03-24 00:00:00,-8.888888889
2016-03-25 00:00:00,-29.26829268
2016-03-26 00:00:00,-13.79310345
2016-03-27 00:00:00,88
2016-03-28 00:00:00,12.76595745
2016-03-29 00:00:00,-11.32075472
2016-03-30 00:00:00,-4.255319149
2016-03-31 00:00:00,-31.81818182
2016-04-01 00:00:00,-31.81818182
2016-04-02 00:00:00,-6.666666667
2016-04-03 00:00:00,60.71428571
2016-04-04 00:00:00,2.222222222
2016-04-05 00:00:00,10.86956522
2016-04-06 00:00:00,-7.843137255
2016-04-07 00:00:00,-8.510638298
2016-04-08 00:00:00,-23.25581395
