Date,Open,High,Low,Close,Adj Close,Volume
2018-08-29,83.510002,83.760002,83.290001,83.489998,76.215889,4520400
2018-08-30,83.389999,83.739998,83.190002,83.410004,76.142853,4549700
2018-08-31,83.349998,83.529999,82.389999,82.949997,75.722931,6674900
2018-09-04,82.480003,82.959999,82.070000,82.699997,75.494713,5800700
2018-09-05,82.110001,83.470001,82.110001,83.290001,76.033325,7651900
2018-09-06,82.910004,83.309998,82.489998,82.650002,75.449074,7541100
2018-09-07,82.099998,82.199997,81.250000,81.910004,74.773567,11110900
2018-09-10,82.580002,83.099998,82.339996,82.379997,75.202591,6783000
2018-09-11,82.129997,82.419998,81.629997,82.010002,74.864830,5210300
2018-09-12,81.900002,83.180000,81.699997,83.110001,75.868996,5925200
2018-09-13,83.269997,83.489998,82.650002,83.449997,76.179375,5328400
2018-09-14,83.470001,83.669998,82.970001,83.610001,76.325432,5004100
2018-09-17,83.500000,84.269997,83.339996,84.250000,76.909668,7098800
2018-09-18,84.290001,84.290001,83.580002,84.000000,76.681465,6022800
2018-09-19,83.919998,84.290001,83.769997,84.000000,76.681465,6157600
2018-09-20,84.290001,85.639999,84.230003,85.360001,77.922966,10053000
2018-09-21,85.809998,86.279999,85.519997,85.820000,78.342880,17402500
2018-09-24,85.629997,85.709999,84.230003,84.269997,76.927917,6389400
2018-09-25,84.279999,84.410004,83.080002,83.120003,75.878120,5657200
2018-09-26,83.250000,83.989998,83.029999,83.260002,76.005913,6581000
2018-09-27,83.040001,83.629997,82.809998,82.860001,75.640785,6277600
2018-09-28,83.029999,83.290001,82.790001,83.230003,75.978539,5125800
2018-10-01,83.309998,83.720001,83.169998,83.669998,76.380203,4899900
2018-10-02,83.480003,84.440002,83.370003,84.360001,77.010094,7390900
2018-10-03,84.440002,84.519997,82.849998,83.029999,75.795959,7958700
2018-10-04,82.500000,82.500000,81.099998,81.919998,74.782677,7029900
2018-10-05,81.980003,82.449997,81.980003,82.150002,74.992622,5454600
2018-10-08,81.980003,82.739998,81.750000,82.400002,75.220848,7192300
2018-10-09,82.389999,82.720001,82.059998,82.199997,75.038269,6268100
2018-10-10,81.809998,82.680000,81.440002,81.440002,74.344490,9295800
2018-10-11,81.639999,81.970001,78.669998,78.870003,71.998405,12560300
2018-10-12,79.370003,79.379997,78.489998,79.059998,72.171837,9878700
2018-10-15,79.010002,80.540001,78.919998,80.129997,73.148605,9691500
2018-10-16,79.910004,81.089996,79.900002,81.010002,73.951942,9462600
2018-10-17,80.760002,82.180000,80.379997,81.860001,74.727898,10375300
2018-10-18,80.709999,81.339996,80.000000,80.239998,73.896294,9869500
2018-10-19,84.860001,87.760002,84.860001,87.300003,80.398132,30276400
2018-10-22,86.730003,87.239998,85.230003,86.599998,79.753471,14124100
2018-10-23,86.010002,87.300003,86.010002,87.160004,80.269203,16269500
2018-10-24,87.279999,90.699997,87.220001,89.459999,82.387352,26703500
2018-10-25,88.110001,89.330002,87.309998,89.000000,81.963737,14647000
2018-10-26,88.690002,89.169998,87.389999,87.860001,80.913857,14335900
2018-10-29,88.290001,89.419998,87.440002,88.239998,81.263809,12878900
2018-10-30,88.849998,89.430000,88.209999,89.190002,82.138718,13844000
2018-10-31,88.769997,89.320000,87.269997,88.680000,81.669044,13362400
2018-11-01,88.809998,89.830002,88.180000,89.589996,82.507080,9732400
2018-11-02,89.879997,89.949997,88.980003,89.809998,82.709671,11336000
2018-11-05,89.889999,91.440002,89.820000,91.199997,83.989807,12270100
2018-11-06,90.860001,91.529999,90.430000,91.510002,84.275291,8857800
2018-11-07,91.589996,91.620003,90.620003,91.290001,84.072693,9019800
2018-11-08,90.949997,91.529999,90.669998,91.360001,84.137169,6614400
2018-11-09,91.349998,92.669998,91.169998,92.410004,85.104141,10713500
2018-11-12,92.209999,93.449997,91.750000,92.699997,85.371223,12522100
2018-11-13,91.970001,93.570000,91.589996,93.470001,86.080345,13438700
2018-11-14,93.419998,93.900002,92.989998,93.489998,86.098740,11623000
2018-11-15,93.330002,93.900002,92.720001,93.830002,86.411873,12506000
2018-11-16,93.820000,94.809998,93.669998,93.820000,86.402657,13013500
2018-11-19,93.720001,94.190002,92.910004,93.290001,85.914574,9458300
2018-11-20,93.239998,93.790001,91.860001,92.099998,84.818649,12074000
2018-11-21,91.660004,92.370003,91.239998,91.410004,84.183189,8911800
2018-11-23,91.250000,91.989998,90.629997,91.540001,84.302933,4399600
2018-11-26,91.150002,92.400002,91.150002,91.940002,84.671295,8171400
2018-11-27,91.930000,92.860001,91.849998,92.720001,85.389626,9023400
2018-11-28,92.629997,93.220001,92.209999,93.010002,85.656708,8093700
2018-11-29,92.860001,93.300003,92.660004,92.820000,85.481728,6126900
2018-11-30,93.180000,94.650002,92.750000,94.510002,87.038109,16291800
2018-12-03,94.669998,94.669998,92.260002,93.320000,85.942200,13934700
2018-12-04,93.489998,94.860001,93.169998,93.309998,85.932976,11123600
2018-12-06,92.699997,93.629997,91.080002,93.550003,86.154022,14199200
2018-12-07,93.589996,93.779999,92.139999,92.449997,85.140984,7996800
2018-12-10,93.250000,93.400002,91.370003,93.029999,85.675133,9307600
2018-12-11,93.720001,94.519997,93.400002,93.910004,86.485550,8743800
2018-12-12,94.209999,94.550003,93.099998,94.029999,86.596069,9644000
2018-12-13,94.870003,96.790001,94.800003,96.489998,88.861572,18541300
2018-12-14,96.449997,96.900002,96.019997,96.639999,88.999710,12657300
2018-12-17,96.000000,96.500000,92.400002,92.769997,85.435669,12427600
2018-12-18,93.129997,93.309998,91.860001,92.489998,85.177803,12250600
2018-12-19,92.550003,93.349998,91.290001,91.760002,84.505516,10825600
2018-12-20,91.510002,92.230003,90.129997,90.980003,83.787193,14439200
2018-12-21,90.610001,93.169998,90.360001,90.970001,83.777985,24030000
2018-12-24,90.449997,90.660004,86.879997,87.360001,80.453377,7396300
2018-12-26,87.419998,90.089996,86.739998,90.089996,82.967560,8630900
2018-12-27,89.610001,92.050003,88.199997,92.019997,84.744965,11360100
2018-12-28,92.559998,93.279999,90.839996,91.180000,83.971382,9611800
2018-12-31,91.629997,92.180000,91.150002,91.919998,84.652870,7239500
2019-01-02,91.029999,91.389999,89.930000,91.279999,84.063469,9843900
2019-01-03,90.940002,92.500000,90.379997,90.639999,83.474075,9820200
2019-01-04,90.839996,92.489998,90.370003,92.489998,85.177803,10565700
2019-01-07,91.910004,92.500000,91.400002,92.120003,84.837067,9012500
2019-01-08,92.699997,93.089996,91.820000,92.459999,85.150177,9551300
2019-01-09,92.690002,92.959999,90.809998,90.949997,83.759560,15015600
2019-01-10,90.889999,91.540001,90.610001,91.169998,83.962166,11102300
2019-01-11,91.669998,91.980003,91.110001,91.769997,84.514740,7166600
2019-01-14,91.500000,91.910004,90.849998,91.150002,83.943764,7952000
2019-01-15,91.150002,92.610001,91.139999,92.010002,84.735756,7834500
2019-01-16,91.739998,92.150002,90.989998,91.370003,84.146362,7964500
2019-01-17,90.709999,91.559998,90.349998,90.639999,84.134293,8044500
2019-01-18,91.370003,91.839996,91.040001,91.419998,84.858292,9100300
2019-01-22,91.389999,91.750000,89.080002,90.440002,83.948654,13518500
2019-01-23,94.180000,96.410004,93.629997,94.839996,88.032814,22869000
2019-01-24,94.290001,94.559998,93.190002,94.300003,87.531593,12146400
2019-01-25,94.419998,94.889999,93.059998,93.599998,86.881836,10618000
2019-01-28,93.320000,93.970001,92.970001,93.519997,86.807571,9765600
2019-01-29,93.790001,94.120003,93.099998,93.540001,86.826149,9769800
2019-01-30,93.610001,94.660004,93.570000,94.519997,87.735802,7750200
2019-01-31,94.430000,96.809998,94.080002,96.470001,89.545845,16044400
2019-02-01,96.349998,97.610001,95.989998,97.470001,90.474068,12720800
2019-02-04,97.209999,98.220001,96.720001,98.029999,90.993866,11887500
2019-02-05,97.989998,98.019997,97.209999,97.440002,90.446213,9772300
2019-02-06,97.250000,98.320000,97.120003,97.919998,90.891769,8693900
2019-02-07,97.519997,97.599998,96.339996,97.139999,90.167755,8732500
2019-02-08,97.010002,97.720001,96.699997,97.709999,90.696831,7483200
2019-02-11,97.489998,98.389999,97.430000,98.269997,91.216652,8494100
2019-02-12,98.379997,99.339996,97.980003,99.260002,92.135590,11238800
2019-02-13,99.290001,99.699997,99.010002,99.239998,92.117027,11587200
2019-02-14,98.699997,98.820000,97.839996,98.459999,91.392998,7930100
2019-02-15,98.949997,99.199997,98.250000,98.480003,91.411575,12069100
2019-02-19,98.559998,100.000000,98.470001,99.989998,92.813194,10098200
2019-02-20,99.779999,100.220001,98.940002,99.279999,92.154152,8947400
2019-02-21,99.099998,99.860001,98.589996,99.779999,92.618271,7444800
2019-02-22,99.690002,100.400002,99.400002,100.250000,93.054520,7925400
2019-02-25,100.360001,100.449997,99.330002,99.570000,92.423332,7436100
2019-02-26,99.839996,100.180000,99.629997,99.830002,92.664688,7115300
2019-02-27,99.339996,99.629997,98.820000,98.910004,91.810722,6013600
2019-02-28,98.910004,99.199997,98.080002,98.550003,91.476547,10575400
2019-03-01,98.610001,98.779999,97.830002,98.440002,91.374443,7733200
2019-03-04,98.570000,98.879997,97.879997,98.870003,91.773582,6895300
2019-03-05,98.910004,99.680000,98.910004,99.089996,91.977791,6274600
2019-03-06,98.860001,99.099998,98.400002,98.930000,91.829285,4622300
2019-03-07,98.970001,99.599998,98.250000,98.550003,91.476547,8408600
2019-03-08,98.820000,99.180000,97.750000,98.410004,91.346596,5144500
2019-03-11,98.790001,99.680000,98.510002,99.580002,92.432625,7544400
2019-03-12,99.779999,100.519997,99.730003,100.050003,92.868896,7597500
2019-03-13,99.989998,101.589996,99.959999,101.180000,93.917778,9883300
2019-03-14,100.940002,101.779999,100.720001,101.320000,94.047737,8590200
2019-03-15,101.760002,102.889999,101.730003,102.440002,95.087357,30802700
2019-03-18,102.059998,102.290001,101.199997,101.510002,94.224098,8442800
2019-03-19,101.910004,102.139999,101.290001,101.900002,94.586105,7334100
2019-03-20,101.730003,102.309998,101.050003,101.720001,94.419006,7513800
2019-03-21,101.279999,102.910004,101.279999,102.489998,95.133743,8221000
2019-03-22,102.480003,103.150002,99.010002,101.660004,94.363335,11035900
2019-03-25,101.660004,102.339996,101.260002,101.959999,94.641792,6955500
2019-03-26,102.440002,103.480003,102.400002,103.019997,95.625702,6909400
2019-03-27,102.760002,103.019997,102.040001,102.900002,95.514336,6037100
2019-03-28,103.309998,103.680000,103.110001,103.550003,96.117676,6793700
2019-03-29,103.860001,104.150002,103.110001,104.050003,96.581795,7535400
2019-04-01,104.230003,104.230003,103.139999,103.639999,96.201202,6626500
2019-04-02,103.610001,104.019997,103.260002,103.750000,96.303307,6088800
2019-04-03,103.580002,103.889999,102.750000,103.690002,96.247620,5226500
2019-04-04,103.480003,103.669998,102.790001,103.430000,96.006279,4786100
2019-04-05,103.610001,103.690002,103.169998,103.650002,96.210495,4281800
2019-04-08,103.930000,105.139999,103.500000,104.970001,97.435745,8468600
2019-04-09,104.550003,104.760002,104.139999,104.660004,97.148003,5820300
2019-04-10,104.660004,105.000000,104.239998,104.650002,97.138710,5394300
2019-04-11,104.580002,105.050003,104.370003,104.750000,97.231529,5078400
2019-04-12,104.750000,105.059998,104.169998,105.059998,97.519287,6707900
2019-04-15,104.980003,105.779999,104.790001,105.730003,98.141212,5639200
2019-04-16,105.980003,106.500000,105.650002,106.419998,98.781670,8136100
2019-04-17,106.269997,106.510002,105.349998,105.849998,98.946198,6778100
2019-04-18,106.019997,106.709999,105.830002,106.050003,99.133163,7248900
2019-04-22,106.129997,107.199997,105.739998,106.010002,99.095772,9057200
2019-04-23,104.010002,104.110001,102.129997,103.160004,96.431664,15979800
2019-04-24,103.320000,104.650002,102.790001,103.690002,96.927071,10094800
2019-04-25,103.099998,103.570000,102.589996,103.279999,96.543823,6085300
2019-04-26,103.949997,105.879997,103.910004,105.860001,98.955551,7747400
2019-04-29,105.570000,105.750000,104.720001,104.779999,97.945992,4787600
2019-04-30,104.860001,106.620003,104.660004,106.480003,99.535103,8251300
2019-05-01,106.150002,106.389999,104.809998,104.930000,98.086205,6733800
2019-05-02,105.199997,105.760002,105.050003,105.559998,98.675110,6270300
2019-05-03,105.989998,106.410004,105.580002,106.080002,99.161201,4793400
2019-05-06,105.120003,105.820000,105.040001,105.680000,98.787262,4890400
2019-05-07,105.029999,105.580002,104.099998,104.699997,97.871208,6021700
2019-05-08,104.989998,105.769997,104.160004,105.070000,98.217072,5392600
2019-05-09,104.669998,105.040001,103.779999,104.239998,97.441208,6901700
2019-05-10,103.980003,106.150002,103.919998,106.010002,99.095772,5815800
2019-05-13,105.139999,106.589996,104.849998,106.110001,99.189247,7575500
2019-05-14,105.769997,106.500000,105.570000,105.599998,98.712509,7004000
2019-05-15,105.610001,107.000000,105.500000,106.699997,99.740753,5535600
2019-05-16,106.739998,108.680000,106.589996,108.110001,101.058815,9284200
2019-05-17,107.269997,108.000000,107.260002,107.449997,100.441841,6370200
